,FAD,LAD
Bowenia_johnsonii,56,47.8
Eobowenia_incrassata,118,116
Almargemia_dentata,113,100.5
Pterostoma_zamioides,47.8,41.3
Pterostoma_anastomosans,38,33.9
Pterostoma_douglasii,23.03,15.97
Pterostoma_hirsutus,47.8,41.3
Pterostoma_neehoffii,14.6,11.61
Pseudoctenis_dentata,114,113
Pseudoctenis_ornata,114,113
Dioonopsis_praespinulosa,66,56
Dioonopsis_nipponica,66,23
Ctenis_coronata,139.8,129.4
Eostangeria_ruzinciniana,12.7,11.6
Eostangeria_pseudopteris,47.8,38
Pseudodioon_akyloi,15.97,11.6
Dioonopsis_macrophylla,38,33.9
Ctenis_kaneharai,174.1,170.3
Ctenis_sulcicaulis,170.3,168
Ctenis_exilis,170.3,168
Pseudoctenis_oleosa,170.3,168
Pseudoctenis_lanei,170.3,168
Bjuvia_simplex,208.5,201.3
Pseudoctenis_crassa,114,113
Cycas_fushuensis,47.8,41.3
Ceratozamia_floersheimensis,33.9,28.1
Ceratozamia_hofmannii,16.7,16.5
Ctenis_stewartiana,199.3,190.8
Ctenis_minuta,208.5,201.3
Ctenis_nilsonii,208.5,201.3
Ctenis_nathorstii,190.8,182.7
Pseudopterophyllum_cteniforme,208.5,201.3
Anthrophyopsis_crassinervis,208.5,201.3
Pseudoctenis_creyensis,157.3,152.1
Ctenis_mallards,139.8,125
Bowenia_sp_Australia,83.6,72.1
Bowenia_eocenica,41.3,38
Bowenia_papillosa,47.8,41.3
Macrozamia_australis,33.9,23.03
Pseudoctenis_eathiensis,157.3,152.1
Ctenis_clarnoensis,38,33.9
Pseudoctenis_sp_A,157.3,152.1
Paracycas_brevipinnata,170.3,163.5
Paracycas_raripinnata,170.3,163.5
Pseudoctenis_barulensis,170.3,163.5
Pterostoma_sp,100.5,93.9
Dioon_sp_Anjou,100.5,93.9
Cycas_sp_Sakhalin,72.1,66
Lepidozamia_hopeites,33.9,15.9
Lepidozamia_foveolata,47.8,41.3
Zamia_nelliae,41.2,27.82
Eostangeria_saxonica,47.8,41.3
Pseudoctenis_foljambeae,139.8,125
Pseudoctenis_divana,139.8,125
Paracycas_georgiepillsonii,139.8,125
Ctenis_twistevantica,139.8,125
Jirusia_jirusi,100.5,93.9
Pseudoctenis_babiensis,100.5,93.9
Pseudoctenis_cornelii,237,227
Plagiozamites_oblongifolius,259.1,254.14
Bowenia_serrulata,0,0
Bowenia_spectabilis,0,0
Ceratozamia_alvarezii,0,0
Ceratozamia_chimalapensis,0,0
Ceratozamia_hildae,0,0
Ceratozamia_kuesteriana,0,0
Ceratozamia_latifolia,0,0
Ceratozamia_matudae,0,0
Ceratozamia_mexicana,0,0
Ceratozamia_morettii,0,0
Ceratozamia_norstogii,0,0
Ceratozamia_robusta,0,0
Ceratozamia_zaragozae,0,0
Cycas_circinalis,0,0
Cycas_debaoensis,0,0
Cycas_hainanensis,0,0
Cycas_media,0,0
Cycas_micronesica,0,0
Cycas_panzhihuaensis,0,0
Cycas_revoluta,0,0
Cycas_rumphii,0,0
Cycas_seemannii,0,0
Cycas_segmentifida,0,0
Cycas_siamensis,0,0
Cycas_szechuanensis,0,0
Cycas_taitungensis,0,0
Cycas_thouarsii,0,0
Cycas_yorkiana,0,0
Dioon_angustifolium,0,0
Dioon_argenteum,0,0
Dioon_califanoi,0,0
Dioon_caputoi,0,0
Dioon_edule,0,0
Dioon_holmgrenii,0,0
Dioon_mejiae,0,0
Dioon_merolae,0,0
Dioon_purpusii,0,0
Dioon_rzedowskii,0,0
Dioon_sonorense,0,0
Dioon_spinulosum,0,0
Dioon_tomasellii,0,0
Encephalartos_altensteinii,0,0
Encephalartos_arenarius,0,0
Encephalartos_barteri,0,0
Encephalartos_bubalinus,0,0
Encephalartos_caffer,0,0
Encephalartos_cycadifolius,0,0
Encephalartos_delucanus,0,0
Encephalartos_ferox,0,0
Encephalartos_fridericiguilielmi,0,0
Encephalartos_gratus,0,0
Encephalartos_hildebrandtii,0,0
Encephalartos_horridus,0,0
Encephalartos_humilis,0,0
Encephalartos_inopinus,0,0
Encephalartos_latifrons,0,0
Encephalartos_laurentianus,0,0
Encephalartos_lebomboensis,0,0
Encephalartos_lehmannii,0,0
Encephalartos_longifolius,0,0
Encephalartos_macrostrobilus,0,0
Encephalartos_manikensis,0,0
Encephalartos_natalensis,0,0
Encephalartos_poggei,0,0
Encephalartos_princeps,0,0
Encephalartos_sclavoi,0,0
Encephalartos_senticosus,0,0
Encephalartos_septentrionalis,0,0
Encephalartos_tegulaneus,0,0
Encephalartos_transvenosus,0,0
Encephalartos_trispinosus,0,0
Encephalartos_umbeluziensis,0,0
Encephalartos_villosus,0,0
Encephalartos_woodii,0,0
Lepidozamia_hopei,0,0
Lepidozamia_peroffskyana,0,0
Macrozamia_communis,0,0
Macrozamia_macdonnellii,0,0
Macrozamia_miquelii,0,0
Macrozamia_moorei,0,0
Macrozamia_pauliguilielmi,0,0
Macrozamia_platyrhachis,0,0
Macrozamia_plurinervia,0,0
Macrozamia_spiralis,0,0
Microcycas_calocoma,0,0
Stangeria_eriopus,0,0
Zamia_angustifolia,0,0
Zamia_chigua,0,0
Zamia_cremnophila,0,0
Zamia_dressleri,0,0
Zamia_elegantissima,0,0
Zamia_erosa,0,0
Zamia_furfuracea,0,0
Zamia_integrifolia,0,0
Zamia_ipetiensis,0,0
Zamia_lacandona,0,0
Zamia_lindenii,0,0
Zamia_loddigesii,0,0
Zamia_manicata,0,0
Zamia_neurophyllidia,0,0
Zamia_obliqua,0,0
Zamia_paucijuga,0,0
Zamia_portoricensis,0,0
Zamia_pumila,0,0
Zamia_pygmaea,0,0
Zamia_restrepoi,0,0
Zamia_roezlii,0,0
Zamia_skinneri,0,0
Zamia_vazquezii,0,0
