subsets,sumvar_g,centr_g,sumvar_p,centr_p,Temperature,CO2,
300,48,85.72,0,85.23,-0.952615938,1.318060476,
290,49.07,84.99,47.9,85.15,-0.405839659,1.310744437,
280,55.79,86.65,55.52,86.24,2.420717145,1.636323393,
270,59.97,86.32,56.93,87.07,4.353578732,3.190708973,
260,59.33,86.6,61.44,85.91,5.028544146,6.138346268,
250,59.18,85.51,61.76,86.19,5.436863713,7.074125786,
240,61.08,86.21,60.84,86.43,5.52920763,7.124122234,
230,61.53,87.33,63.49,90.48,5.143620973,5.913491084,
220,63.68,89.23,64.47,89.28,4.04024143,5.330601004,
210,65.63,87.31,66.43,87.77,2.669344983,5.539440834,
200,62.54,85.65,62.98,85.39,1.722312907,5.088515662,
190,64.76,84.71,64.62,84.64,1.867775595,5.034901805,
180,66.11,83.69,66.49,82.19,1.186120505,4.468379223,
170,68.41,88.49,68.64,88.86,2.382205011,8.526084945,
160,67.39,88.45,67.3,86.54,2.697737332,8.801582099,
150,66.98,86.18,66.47,87.83,2.515026513,7.628162163,
140,68.27,86.61,68.46,88.04,3.01724394,8.217306603,
130,66.81,86.15,67.48,87.98,2.312734554,6.722251191,
120,68.19,88.91,67.62,88.2,2.59431992,6.103988023,
110,67.78,89.35,68.05,89.44,2.820322669,5.869153684,
100,68.43,89.41,69.15,90.07,4.177154666,5.101393169,
90,66.23,88.87,67.03,86.62,3.74091003,4.200681857,
80,67.4,88,67.54,88.21,3.2017013,4.227140175,
70,68.83,86.12,68.72,84.1,3.093904653,3.321344813,
60,68.92,85.61,69.29,87.38,2.704401459,2.837701228,
50,69.7,88.43,69.73,88.36,2.338396583,3.21287612,
40,69.59,88.49,69.6,87.81,1.550096216,2.205799241,
30,67.93,90.38,68.56,90.27,0.399328824,1.45543136,
20,69.65,86.08,69.91,85.76,-0.020580037,1.177227126,
10,70.92,89.46,71.12,90.48,-0.308875464,0.974380215,
0,72.02,85.21,72.03,85.21,-0.079999998,0.987970114,
